, I
Against, this
All, of
Ambassador, Mollari
And, I
As, I
At, the
Battle, of
Because, if
But, the
Centauri, or
Commander, And
Council, knew
Delenn, as
Earth, year
Earthers, will
GQuon, wrote
Gaim, or
Greater, than
Here, gathered
Human, or
I, could
If, it
It, has
Line, we
Minbari, Most
Mollari, I
Most, are
Narn, or
No, one
Now, it
Over, the
Remove, those
Shes, in
Sinclairs, mind
So, I
Some, are
Stay, close
That, we
The, bearer
There, is
They, move
This, is
Universe, the
Very, soon
Vorlon, and
We, had
Well, take
Where, you
You, are
a, better
about, the
again, If
against, the
agree, to
ahead, They
all, this
almost, as
always, changing
am, fated
ancestors, the
and, fire
another, Because
are, my
around, us
as, a
at, them
attend, to
avoid, it
be, going
bearer, of
been, drawn
before, It
being, reborn
belief, that
beliefs, This
better, or
billions, of
blemish, that
blood, No
bodies, The
born, do
both, of
braver, companion
breath, 
broken, down
but, someone
by, darkness
calling, your
came, before
can, I
cause, we
changing, We
chaos, and
choice, to
close, to
come, with
committed, to
common, cause
compassion, It
could, not
course, but
cradle, for
create, the
created, the
creation, the
darkness, and
death, of
deeds, and
despair, Greater
destroyed, They
diminished, Over
diminishes, us
disappearing, At
discover, all
discovered, where
do, not
done, it
dont, think
down, into
drawn, here
dreams, Against
each, generation
ears, Where
end, of
ends, swallowed
enemy, that
ennobles, us
enough, on
enriches, us
entire, society
equal, to
erased, from
every, generation
examination, erased
eyes, and
fated, to
fathers, and
fear, We
feeling, of
fewer, Minbari
fight, ahead
fire, I
flesh, is
following, generation
for, a
from, Sinclairs
full, in
future, Commander
gathered, together
generals, the
generation, And
go, Well
going, into
great, hand
greater, souls
grow, with
had, all
hand, And
has, been
hasnt, she
have, been
hear, sounds
heart, and
her, Now
here, to
him, go
holding, its
hope, they
how, the
human, bodies
humans, They
if, I
in, human
information, It
inheritors, waiting
into, darkness
is, your
it, is
its, time
itself, we
kill, you
kind, to
knew, that
know, if
knows, the
language, of
languages, but
last, two
learn, to
leave, the
let, him
life, can
light, the
listen, I
little, it
live, on
look, at
looking, at
loss, No
lost, its
many, languages
matter, the
may, yet
me, then
memory, of
message, is
mind, and
mistake, You
moments, of
more, 
mothers, to
move, when
must, unite
my, eyes
name, The
never, surrender
no, one
not, wish
now, I
of, my
on, their
one, of
only, thing
or, braver
ordered, I
others, dont
our, mistake
out, again
own, I
pain, This
part, or
path, It
paused, suddenly
people, calling
peril, we
place, So
possible, future
powers, and
prepare, for
principalities, 
profit, you
prophecy, that
races, to
rangers, Some
reaching, out
ready, for
reason, for
reborn, in
recognize, this
rest, about
returning, and
revelation, No
right, Because
rule, That
same, voice
say, it
says, We
secret, Now
see, me
seem, equal
shadows, They
shape, of
she, Shes
sides, of
singular, rule
skin, No
small, still
society, So
someone, would
soon, now
soul, that
souls, are
sounds, of
speaking, through
speaks, in
spirit, must
star, We
stars, The
still, voice
stop, the
strength, and
suddenly, and
suffers, We
surrender, We
survive, our
swallowed, in
take, this
tell, you
than, the
that, will
the, Vorlon
their, own
them, Very
then, I
there, have
they, are
thing, I
think, its
this, message
those, who
thousand, years
through, us
time, yet
to, come
together, and
told, that
touched, by
transition, to
trust, It
truth, and
two, sides
unexpectedly, All
unite, against
universe, were
unravel, our
us, And
voice, of
wait, The
waiting, in
walk, out
war, we
warn, you
was, ordered
watch, out
way, The
we, are
were, not
what, little
when, youre
where, our
who, came
whole, suffers
will, be
wish, for
wished, for
with, me
words, with
work, together
world, we
would, take
wrong, no
wrote, There
year, 
years, there
yet, Stay
you, But
your, choice
youre, not
yours, I
